table,field
person,gender_source_value
person,gender_source_concept_id
person,race_source_value
person,race_source_concept_id
person,ethnicity_source_value
person,ethnicity_source_concept_id
observation_period,observation_period_id
observation_period,person_id
observation_period,observation_period_start_date
observation_period,observation_period_end_date
observation_period,period_type_concept_id
specimen,specimen_id
specimen,person_id
specimen,specimen_concept_id
specimen,specimen_type_concept_id
specimen,specimen_date
specimen,specimen_datetime
specimen,quantity
specimen,unit_concept_id
specimen,anatomic_site_concept_id
specimen,disease_status_concept_id
specimen,specimen_source_id
specimen,specimen_source_value
specimen,unit_source_value
specimen,anatomic_site_source_value
specimen,disease_status_source_value
visit_occurrence,visit_occurrence_id
visit_occurrence,person_id
visit_occurrence,visit_concept_id
visit_occurrence,visit_start_date
visit_occurrence,visit_start_datetime
visit_occurrence,visit_end_date
visit_occurrence,visit_end_datetime
visit_occurrence,visit_type_concept_id
visit_occurrence,provider_id
visit_occurrence,care_site_id
visit_occurrence,visit_source_value
visit_occurrence,visit_source_concept_id
visit_occurrence,admitted_from_concept_id
visit_occurrence,admitted_from_source_value
visit_occurrence,discharge_to_source_value
visit_occurrence,discharge_to_concept_id
visit_occurrence,preceding_visit_occurrence_id
visit_detail,visit_detail_id
visit_detail,person_id
visit_detail,visit_detail_concept_id
visit_detail,visit_detail_start_date
visit_detail,visit_detail_start_datetime
visit_detail,visit_detail_end_date
visit_detail,visit_detail_end_datetime
visit_detail,visit_detail_type_concept_id
visit_detail,provider_id
visit_detail,care_site_id
visit_detail,discharge_to_concept_id
visit_detail,admitted_from_concept_id
visit_detail,admitted_from_source_value
visit_detail,visit_detail_source_value
visit_detail,visit_detail_source_concept_id
visit_detail,discharge_to_source_value
visit_detail,preceding_visit_detail_id
visit_detail,visit_detail_parent_id
visit_detail,visit_occurrence_id
procedure_occurrence,procedure_occurrence_id
procedure_occurrence,person_id
procedure_occurrence,procedure_concept_id
procedure_occurrence,procedure_date
procedure_occurrence,procedure_datetime
procedure_occurrence,procedure_type_concept_id
procedure_occurrence,modifier_concept_id
procedure_occurrence,quantity
procedure_occurrence,provider_id
procedure_occurrence,visit_occurrence_id
procedure_occurrence,visit_detail_id
procedure_occurrence,procedure_source_value
procedure_occurrence,procedure_source_concept_id
procedure_occurrence,modifier_source_value
condition_occurrence,condition_occurrence_id
condition_occurrence,person_id
condition_occurrence,condition_concept_id
condition_occurrence,condition_start_date
condition_occurrence,condition_start_datetime
condition_occurrence,condition_end_date
condition_occurrence,condition_end_datetime
condition_occurrence,condition_type_concept_id
condition_occurrence,condition_status_concept_id
condition_occurrence,stop_reason
condition_occurrence,provider_id
condition_occurrence,visit_occurrence_id
condition_occurrence,visit_detail_id
condition_occurrence,condition_source_value
condition_occurrence,condition_source_concept_id
condition_occurrence,condition_status_source_value
measurement,measurement_id
measurement,person_id
measurement,measurement_concept_id
measurement,measurement_date
measurement,measurement_datetime
measurement,measurement_time
measurement,measurement_type_concept_id
measurement,operator_concept_id
measurement,value_as_number
measurement,value_as_concept_id
measurement,unit_concept_id
measurement,range_low
measurement,range_high
measurement,provider_id
measurement,visit_occurrence_id
measurement,visit_detail_id
measurement,measurement_source_value
measurement,measurement_source_concept_id
measurement,unit_source_value
measurement,value_source_value
note,note_id
note,person_id
note,note_event_id
note,note_event_field_concept_id
note,note_date
note,note_datetime
note,note_type_concept_id
note,note_class_concept_id
note,note_title
note,note_text
note,encoding_concept_id
note,language_concept_id
note,provider_id
note,visit_occurrence_id
note,visit_detail_id
note,note_source_value
survey_conduct,survey_conduct_id
survey_conduct,person_id
survey_conduct,survey_concept_id
survey_conduct,survey_start_date
survey_conduct,survey_start_datetime
survey_conduct,survey_end_date
survey_conduct,survey_end_datetime
survey_conduct,provider_id
survey_conduct,assisted_concept_id
survey_conduct,respondent_type_concept_id
survey_conduct,timing_concept_id
survey_conduct,collection_method_concept_id
survey_conduct,assisted_source_value
survey_conduct,respondent_type_source_value
survey_conduct,timing_source_value
survey_conduct,collection_method_source_value
survey_conduct,survey_source_value
survey_conduct,survey_source_concept_id
survey_conduct,survey_source_identifier
survey_conduct,validated_survey_concept_id
survey_conduct,validated_survey_source_value
survey_conduct,survey_version_number
survey_conduct,visit_occurrence_id
survey_conduct,visit_detail_id
survey_conduct,response_visit_occurrence_id
payer_plan_period,payer_plan_period_id
payer_plan_period,person_id
payer_plan_period,contract_person_id
payer_plan_period,payer_plan_period_start_date
payer_plan_period,payer_plan_period_end_date
payer_plan_period,payer_concept_id
payer_plan_period,plan_concept_id
payer_plan_period,contract_concept_id
payer_plan_period,sponsor_concept_id
payer_plan_period,stop_reason_concept_id
payer_plan_period,payer_source_value
payer_plan_period,payer_source_concept_id
payer_plan_period,plan_source_value
payer_plan_period,plan_source_concept_id
payer_plan_period,contract_source_value
payer_plan_period,contract_source_concept_id
payer_plan_period,sponsor_source_value
payer_plan_period,sponsor_source_concept_id
payer_plan_period,family_source_value
payer_plan_period,stop_reason_source_value
payer_plan_period,stop_reason_source_concept_id
cost,cost_id
cost,person_id
cost,cost_event_id
cost,cost_event_field_concept_id
cost,cost_concept_id
cost,cost_type_concept_id
cost,currency_concept_id
cost,cost
cost,incurred_date
cost,billed_date
cost,paid_date
cost,revenue_code_concept_id
cost,drg_concept_id
cost,cost_source_value
cost,cost_source_concept_id
cost,revenue_code_source_value
cost,drg_source_value
cost,payer_plan_period_id
drug_era,drug_era_id
drug_era,person_id
drug_era,drug_concept_id
drug_era,drug_era_start_datetime
drug_era,drug_era_end_datetime
drug_era,drug_exposure_count
drug_era,gap_days
dose_era,dose_era_id
dose_era,person_id
dose_era,drug_concept_id
dose_era,unit_concept_id
dose_era,dose_value
dose_era,dose_era_start_datetime
dose_era,dose_era_end_datetime
condition_era,condition_era_id
condition_era,person_id
condition_era,condition_concept_id
condition_era,condition_era_start_datetime
condition_era,condition_era_end_datetime
condition_era,condition_occurrence_count
